[86.7 minutes]	Chunk 22: (pM50~GTSP2160~1) 205632 reads pass barcode filter.
[86.8 minutes]	Chunk 22: (pM50~GTSP2160~1) 12414 reads pass linker code filter.
[86.8 minutes]	Chunk 22: (pM50~GTSP2160~1) 12243 reads pass all demultiplexing filters.
[86.9 minutes]	Chunk 22: (pM50~GTSP2160~1) 97 reads aligned to the vector and will be removed.
[86.9 minutes]	Chunk 22: (pM50~GTSP2160~1) 12200 reads remain after removing vector aligned reads and synchronizing.
[86.9 minutes]	Chunk 22: (pM50~GTSP2160~1) 772 reads removed by virus read start test filter (10 NTs).
[86.9 minutes]	Chunk 22: (pM50~GTSP2160~1) 772 reads removed after all filters.
[87.3 minutes]	Chunk 22: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.3 minutes]	Chunk 22: (pM50~GTSP2160~1) captured random linker ids.
[87.3 minutes]	Chunk 22: (6539) reads remaining after read length filters.
[87.3 minutes]	Chunk 22: (pM50~GTSP2160~1) completed with 6539 reads.
[87.7 minutes]	Chunk 22: (pM50~GTSP2161~1) 205632 reads pass barcode filter.
[87.7 minutes]	Chunk 22: (pM50~GTSP2161~1) 8902 reads pass linker code filter.
[87.7 minutes]	Chunk 22: (pM50~GTSP2161~1) 8788 reads pass all demultiplexing filters.
[87.8 minutes]	Chunk 22: (pM50~GTSP2161~1) 82 reads aligned to the vector and will be removed.
[87.8 minutes]	Chunk 22: (pM50~GTSP2161~1) 8746 reads remain after removing vector aligned reads and synchronizing.
[87.8 minutes]	Chunk 22: (pM50~GTSP2161~1) 563 reads removed by virus read start test filter (10 NTs).
[87.8 minutes]	Chunk 22: (pM50~GTSP2161~1) 563 reads removed after all filters.
[88.1 minutes]	Chunk 22: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.1 minutes]	Chunk 22: (pM50~GTSP2161~1) captured random linker ids.
[88.2 minutes]	Chunk 22: (4451) reads remaining after read length filters.
[88.2 minutes]	Chunk 22: (pM50~GTSP2161~1) completed with 4451 reads.
[88.6 minutes]	Chunk 22: (pM50~GTSP2162~1) 205632 reads pass barcode filter.
[88.7 minutes]	Chunk 22: (pM50~GTSP2162~1) 9185 reads pass linker code filter.
[88.7 minutes]	Chunk 22: (pM50~GTSP2162~1) 9066 reads pass all demultiplexing filters.
[88.8 minutes]	Chunk 22: (pM50~GTSP2162~1) 164 reads aligned to the vector and will be removed.
[88.8 minutes]	Chunk 22: (pM50~GTSP2162~1) 9002 reads remain after removing vector aligned reads and synchronizing.
[88.8 minutes]	Chunk 22: (pM50~GTSP2162~1) 560 reads removed by virus read start test filter (10 NTs).
[88.8 minutes]	Chunk 22: (pM50~GTSP2162~1) 560 reads removed after all filters.
[89.1 minutes]	Chunk 22: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.1 minutes]	Chunk 22: (pM50~GTSP2162~1) captured random linker ids.
[89.2 minutes]	Chunk 22: (5575) reads remaining after read length filters.
[89.2 minutes]	Chunk 22: (pM50~GTSP2162~1) completed with 5575 reads.
[89.6 minutes]	Chunk 22: (pM66~GTSP2163~1) 205632 reads pass barcode filter.
[89.6 minutes]	Chunk 22: (pM66~GTSP2163~1) 6320 reads pass linker code filter.
[89.6 minutes]	Chunk 22: (pM66~GTSP2163~1) 6234 reads pass all demultiplexing filters.
[89.7 minutes]	Chunk 22: (pM66~GTSP2163~1) 67 reads aligned to the vector and will be removed.
[89.7 minutes]	Chunk 22: (pM66~GTSP2163~1) 6203 reads remain after removing vector aligned reads and synchronizing.
[89.7 minutes]	Chunk 22: (pM66~GTSP2163~1) 316 reads removed by virus read start test filter (10 NTs).
[89.7 minutes]	Chunk 22: (pM66~GTSP2163~1) 316 reads removed after all filters.
[89.9 minutes]	Chunk 22: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[89.9 minutes]	Chunk 22: (pM66~GTSP2163~1) captured random linker ids.
[89.9 minutes]	Chunk 22: (3122) reads remaining after read length filters.
[89.9 minutes]	Chunk 22: (pM66~GTSP2163~1) completed with 3122 reads.
[90.4 minutes]	Chunk 22: (pM66~GTSP2164~1) 205632 reads pass barcode filter.
[90.4 minutes]	Chunk 22: (pM66~GTSP2164~1) 12240 reads pass linker code filter.
[90.4 minutes]	Chunk 22: (pM66~GTSP2164~1) 12083 reads pass all demultiplexing filters.
[90.6 minutes]	Chunk 22: (pM66~GTSP2164~1) 71 reads aligned to the vector and will be removed.
[90.6 minutes]	Chunk 22: (pM66~GTSP2164~1) 12056 reads remain after removing vector aligned reads and synchronizing.
[90.6 minutes]	Chunk 22: (pM66~GTSP2164~1) 316 reads removed by virus read start test filter (10 NTs).
[90.6 minutes]	Chunk 22: (pM66~GTSP2164~1) 316 reads removed after all filters.
[91.0 minutes]	Chunk 22: (pM66~GTSP2164~1) 2 reads remaining after LTR/ITR capture.
[91.0 minutes]	Chunk 22: (pM66~GTSP2164~1) captured random linker ids.
[91.0 minutes]	Chunk 22: (4643) reads remaining after read length filters.
[91.0 minutes]	Chunk 22: (pM66~GTSP2164~1) completed with 4643 reads.
[91.4 minutes]	Chunk 22: (pM66~GTSP2165~1) 205632 reads pass barcode filter.
[91.5 minutes]	Chunk 22: (pM66~GTSP2165~1) 4678 reads pass linker code filter.
[91.5 minutes]	Chunk 22: (pM66~GTSP2165~1) 4599 reads pass all demultiplexing filters.
[91.5 minutes]	Chunk 22: (pM66~GTSP2165~1) 63 reads aligned to the vector and will be removed.
[91.5 minutes]	Chunk 22: (pM66~GTSP2165~1) 4572 reads remain after removing vector aligned reads and synchronizing.
[91.5 minutes]	Chunk 22: (pM66~GTSP2165~1) 253 reads removed by virus read start test filter (10 NTs).
[91.5 minutes]	Chunk 22: (pM66~GTSP2165~1) 253 reads removed after all filters.
[91.7 minutes]	Chunk 22: (pM66~GTSP2165~1) 2 reads remaining after LTR/ITR capture.
[91.7 minutes]	Chunk 22: (pM66~GTSP2165~1) captured random linker ids.
[91.7 minutes]	Chunk 22: (2676) reads remaining after read length filters.
[91.7 minutes]	Chunk 22: (pM66~GTSP2165~1) completed with 2676 reads.
[92.2 minutes]	Chunk 22: (pLinus~GTSP2166~1) 205632 reads pass barcode filter.
[92.2 minutes]	Chunk 22: (pLinus~GTSP2166~1) 14011 reads pass linker code filter.
[92.2 minutes]	Chunk 22: (pLinus~GTSP2166~1) 13831 reads pass all demultiplexing filters.
[92.3 minutes]	Chunk 22: (pLinus~GTSP2166~1) 9 reads aligned to the vector and will be removed.
[92.3 minutes]	Chunk 22: (pLinus~GTSP2166~1) 13826 reads remain after removing vector aligned reads and synchronizing.
[92.3 minutes]	Chunk 22: (pLinus~GTSP2166~1) 633 reads removed by virus read start test filter (10 NTs).
[92.3 minutes]	Chunk 22: (pLinus~GTSP2166~1) 633 reads removed after all filters.
[92.7 minutes]	Chunk 22: (pLinus~GTSP2166~1) 2 reads remaining after LTR/ITR capture.
[92.7 minutes]	Chunk 22: (pLinus~GTSP2166~1) captured random linker ids.
