[86.6 minutes]	Chunk 12: (pM50~GTSP2160~1) 201810 reads pass barcode filter.
[86.7 minutes]	Chunk 12: (pM50~GTSP2160~1) 12563 reads pass linker code filter.
[86.7 minutes]	Chunk 12: (pM50~GTSP2160~1) 12393 reads pass all demultiplexing filters.
[86.8 minutes]	Chunk 12: (pM50~GTSP2160~1) 57 reads aligned to the vector and will be removed.
[86.8 minutes]	Chunk 12: (pM50~GTSP2160~1) 12366 reads remain after removing vector aligned reads and synchronizing.
[86.8 minutes]	Chunk 12: (pM50~GTSP2160~1) 719 reads removed by virus read start test filter (10 NTs).
[86.8 minutes]	Chunk 12: (pM50~GTSP2160~1) 719 reads removed after all filters.
[87.1 minutes]	Chunk 12: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.1 minutes]	Chunk 12: (pM50~GTSP2160~1) captured random linker ids.
[87.1 minutes]	Chunk 12: (6526) reads remaining after read length filters.
[87.2 minutes]	Chunk 12: (pM50~GTSP2160~1) completed with 6526 reads.
[87.5 minutes]	Chunk 12: (pM50~GTSP2161~1) 201810 reads pass barcode filter.
[87.5 minutes]	Chunk 12: (pM50~GTSP2161~1) 9081 reads pass linker code filter.
[87.5 minutes]	Chunk 12: (pM50~GTSP2161~1) 8987 reads pass all demultiplexing filters.
[87.6 minutes]	Chunk 12: (pM50~GTSP2161~1) 81 reads aligned to the vector and will be removed.
[87.6 minutes]	Chunk 12: (pM50~GTSP2161~1) 8948 reads remain after removing vector aligned reads and synchronizing.
[87.6 minutes]	Chunk 12: (pM50~GTSP2161~1) 575 reads removed by virus read start test filter (10 NTs).
[87.6 minutes]	Chunk 12: (pM50~GTSP2161~1) 575 reads removed after all filters.
[88.0 minutes]	Chunk 12: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.0 minutes]	Chunk 12: (pM50~GTSP2161~1) captured random linker ids.
[88.0 minutes]	Chunk 12: (4442) reads remaining after read length filters.
[88.0 minutes]	Chunk 12: (pM50~GTSP2161~1) completed with 4442 reads.
[88.4 minutes]	Chunk 12: (pM50~GTSP2162~1) 201810 reads pass barcode filter.
[88.4 minutes]	Chunk 12: (pM50~GTSP2162~1) 9361 reads pass linker code filter.
[88.4 minutes]	Chunk 12: (pM50~GTSP2162~1) 9241 reads pass all demultiplexing filters.
[88.5 minutes]	Chunk 12: (pM50~GTSP2162~1) 181 reads aligned to the vector and will be removed.
[88.5 minutes]	Chunk 12: (pM50~GTSP2162~1) 9174 reads remain after removing vector aligned reads and synchronizing.
[88.5 minutes]	Chunk 12: (pM50~GTSP2162~1) 581 reads removed by virus read start test filter (10 NTs).
[88.5 minutes]	Chunk 12: (pM50~GTSP2162~1) 581 reads removed after all filters.
[88.8 minutes]	Chunk 12: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[88.9 minutes]	Chunk 12: (pM50~GTSP2162~1) captured random linker ids.
[88.9 minutes]	Chunk 12: (5557) reads remaining after read length filters.
[88.9 minutes]	Chunk 12: (pM50~GTSP2162~1) completed with 5557 reads.
[89.3 minutes]	Chunk 12: (pM66~GTSP2163~1) 201810 reads pass barcode filter.
[89.3 minutes]	Chunk 12: (pM66~GTSP2163~1) 6111 reads pass linker code filter.
[89.3 minutes]	Chunk 12: (pM66~GTSP2163~1) 6028 reads pass all demultiplexing filters.
[89.4 minutes]	Chunk 12: (pM66~GTSP2163~1) 21 reads aligned to the vector and will be removed.
[89.4 minutes]	Chunk 12: (pM66~GTSP2163~1) 6017 reads remain after removing vector aligned reads and synchronizing.
[89.4 minutes]	Chunk 12: (pM66~GTSP2163~1) 283 reads removed by virus read start test filter (10 NTs).
[89.4 minutes]	Chunk 12: (pM66~GTSP2163~1) 283 reads removed after all filters.
[89.6 minutes]	Chunk 12: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[89.6 minutes]	Chunk 12: (pM66~GTSP2163~1) captured random linker ids.
[89.6 minutes]	Chunk 12: (3029) reads remaining after read length filters.
[89.6 minutes]	Chunk 12: (pM66~GTSP2163~1) completed with 3029 reads.
[90.0 minutes]	Chunk 12: (pM66~GTSP2164~1) 201810 reads pass barcode filter.
[90.1 minutes]	Chunk 12: (pM66~GTSP2164~1) 10169 reads pass linker code filter.
[90.1 minutes]	Chunk 12: (pM66~GTSP2164~1) 10029 reads pass all demultiplexing filters.
[90.2 minutes]	Chunk 12: (pM66~GTSP2164~1) 40 reads aligned to the vector and will be removed.
[90.2 minutes]	Chunk 12: (pM66~GTSP2164~1) 10013 reads remain after removing vector aligned reads and synchronizing.
