[86.7 minutes]	Chunk 6: (pM50~GTSP2160~1) 204169 reads pass barcode filter.
[86.8 minutes]	Chunk 6: (pM50~GTSP2160~1) 11962 reads pass linker code filter.
[86.8 minutes]	Chunk 6: (pM50~GTSP2160~1) 11786 reads pass all demultiplexing filters.
[86.9 minutes]	Chunk 6: (pM50~GTSP2160~1) 47 reads aligned to the vector and will be removed.
[86.9 minutes]	Chunk 6: (pM50~GTSP2160~1) 11761 reads remain after removing vector aligned reads and synchronizing.
[86.9 minutes]	Chunk 6: (pM50~GTSP2160~1) 688 reads removed by virus read start test filter (10 NTs).
[86.9 minutes]	Chunk 6: (pM50~GTSP2160~1) 688 reads removed after all filters.
[87.2 minutes]	Chunk 6: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.2 minutes]	Chunk 6: (pM50~GTSP2160~1) captured random linker ids.
[87.2 minutes]	Chunk 6: (6032) reads remaining after read length filters.
[87.2 minutes]	Chunk 6: (pM50~GTSP2160~1) completed with 6032 reads.
[87.6 minutes]	Chunk 6: (pM50~GTSP2161~1) 204169 reads pass barcode filter.
[87.7 minutes]	Chunk 6: (pM50~GTSP2161~1) 8874 reads pass linker code filter.
[87.7 minutes]	Chunk 6: (pM50~GTSP2161~1) 8746 reads pass all demultiplexing filters.
[87.8 minutes]	Chunk 6: (pM50~GTSP2161~1) 61 reads aligned to the vector and will be removed.
[87.8 minutes]	Chunk 6: (pM50~GTSP2161~1) 8719 reads remain after removing vector aligned reads and synchronizing.
[87.8 minutes]	Chunk 6: (pM50~GTSP2161~1) 538 reads removed by virus read start test filter (10 NTs).
[87.8 minutes]	Chunk 6: (pM50~GTSP2161~1) 538 reads removed after all filters.
[88.1 minutes]	Chunk 6: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.1 minutes]	Chunk 6: (pM50~GTSP2161~1) captured random linker ids.
[88.1 minutes]	Chunk 6: (4218) reads remaining after read length filters.
[88.1 minutes]	Chunk 6: (pM50~GTSP2161~1) completed with 4218 reads.
[88.6 minutes]	Chunk 6: (pM50~GTSP2162~1) 204169 reads pass barcode filter.
[88.6 minutes]	Chunk 6: (pM50~GTSP2162~1) 8856 reads pass linker code filter.
[88.6 minutes]	Chunk 6: (pM50~GTSP2162~1) 8755 reads pass all demultiplexing filters.
[88.7 minutes]	Chunk 6: (pM50~GTSP2162~1) 202 reads aligned to the vector and will be removed.
[88.7 minutes]	Chunk 6: (pM50~GTSP2162~1) 8675 reads remain after removing vector aligned reads and synchronizing.
[88.7 minutes]	Chunk 6: (pM50~GTSP2162~1) 546 reads removed by virus read start test filter (10 NTs).
[88.7 minutes]	Chunk 6: (pM50~GTSP2162~1) 546 reads removed after all filters.
[89.1 minutes]	Chunk 6: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.1 minutes]	Chunk 6: (pM50~GTSP2162~1) captured random linker ids.
[89.1 minutes]	Chunk 6: (5161) reads remaining after read length filters.
[89.1 minutes]	Chunk 6: (pM50~GTSP2162~1) completed with 5161 reads.
[89.5 minutes]	Chunk 6: (pM66~GTSP2163~1) 204169 reads pass barcode filter.
[89.5 minutes]	Chunk 6: (pM66~GTSP2163~1) 6231 reads pass linker code filter.
[89.5 minutes]	Chunk 6: (pM66~GTSP2163~1) 6154 reads pass all demultiplexing filters.
[89.6 minutes]	Chunk 6: (pM66~GTSP2163~1) 69 reads aligned to the vector and will be removed.
[89.6 minutes]	Chunk 6: (pM66~GTSP2163~1) 6121 reads remain after removing vector aligned reads and synchronizing.
[89.6 minutes]	Chunk 6: (pM66~GTSP2163~1) 299 reads removed by virus read start test filter (10 NTs).
[89.6 minutes]	Chunk 6: (pM66~GTSP2163~1) 299 reads removed after all filters.
[89.8 minutes]	Chunk 6: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[89.8 minutes]	Chunk 6: (pM66~GTSP2163~1) captured random linker ids.
[89.8 minutes]	Chunk 6: (2940) reads remaining after read length filters.
[89.8 minutes]	Chunk 6: (pM66~GTSP2163~1) completed with 2940 reads.
[90.2 minutes]	Chunk 6: (pM66~GTSP2164~1) 204169 reads pass barcode filter.
[90.3 minutes]	Chunk 6: (pM66~GTSP2164~1) 11782 reads pass linker code filter.
[90.3 minutes]	Chunk 6: (pM66~GTSP2164~1) 11619 reads pass all demultiplexing filters.
[90.4 minutes]	Chunk 6: (pM66~GTSP2164~1) 28 reads aligned to the vector and will be removed.
[90.4 minutes]	Chunk 6: (pM66~GTSP2164~1) 11607 reads remain after removing vector aligned reads and synchronizing.
[90.4 minutes]	Chunk 6: (pM66~GTSP2164~1) 311 reads removed by virus read start test filter (10 NTs).
[90.4 minutes]	Chunk 6: (pM66~GTSP2164~1) 311 reads removed after all filters.
[90.7 minutes]	Chunk 6: (pM66~GTSP2164~1) 2 reads remaining after LTR/ITR capture.
[90.7 minutes]	Chunk 6: (pM66~GTSP2164~1) captured random linker ids.
[90.8 minutes]	Chunk 6: (4054) reads remaining after read length filters.
[90.8 minutes]	Chunk 6: (pM66~GTSP2164~1) completed with 4054 reads.
[91.2 minutes]	Chunk 6: (pM66~GTSP2165~1) 204169 reads pass barcode filter.
[91.2 minutes]	Chunk 6: (pM66~GTSP2165~1) 3755 reads pass linker code filter.
[91.2 minutes]	Chunk 6: (pM66~GTSP2165~1) 3697 reads pass all demultiplexing filters.
[91.2 minutes]	Chunk 6: (pM66~GTSP2165~1) 86 reads aligned to the vector and will be removed.
[91.2 minutes]	Chunk 6: (pM66~GTSP2165~1) 3663 reads remain after removing vector aligned reads and synchronizing.
[91.2 minutes]	Chunk 6: (pM66~GTSP2165~1) 209 reads removed by virus read start test filter (10 NTs).
[91.2 minutes]	Chunk 6: (pM66~GTSP2165~1) 209 reads removed after all filters.
[91.4 minutes]	Chunk 6: (pM66~GTSP2165~1) 2 reads remaining after LTR/ITR capture.
[91.4 minutes]	Chunk 6: (pM66~GTSP2165~1) captured random linker ids.
[91.4 minutes]	Chunk 6: (2136) reads remaining after read length filters.
[91.4 minutes]	Chunk 6: (pM66~GTSP2165~1) completed with 2136 reads.
[91.8 minutes]	Chunk 6: (pLinus~GTSP2166~1) 204169 reads pass barcode filter.
[91.9 minutes]	Chunk 6: (pLinus~GTSP2166~1) 14141 reads pass linker code filter.
[91.9 minutes]	Chunk 6: (pLinus~GTSP2166~1) 13975 reads pass all demultiplexing filters.
[92.0 minutes]	Chunk 6: (pLinus~GTSP2166~1) 3 reads aligned to the vector and will be removed.
[92.0 minutes]	Chunk 6: (pLinus~GTSP2166~1) 13972 reads remain after removing vector aligned reads and synchronizing.
[92.0 minutes]	Chunk 6: (pLinus~GTSP2166~1) 550 reads removed by virus read start test filter (10 NTs).
[92.0 minutes]	Chunk 6: (pLinus~GTSP2166~1) 550 reads removed after all filters.
[92.4 minutes]	Chunk 6: (pLinus~GTSP2166~1) 2 reads remaining after LTR/ITR capture.
[92.4 minutes]	Chunk 6: (pLinus~GTSP2166~1) captured random linker ids.
[92.4 minutes]	Chunk 6: (7287) reads remaining after read length filters.
[92.4 minutes]	Chunk 6: (pLinus~GTSP2166~1) completed with 7287 reads.
[92.8 minutes]	Chunk 6: (pLinus~GTSP2167~1) 204169 reads pass barcode filter.
[92.9 minutes]	Chunk 6: (pLinus~GTSP2167~1) 11682 reads pass linker code filter.
[92.9 minutes]	Chunk 6: (pLinus~GTSP2167~1) 11543 reads pass all demultiplexing filters.
[93.0 minutes]	Chunk 6: (pLinus~GTSP2167~1) 3 reads aligned to the vector and will be removed.
[93.0 minutes]	Chunk 6: (pLinus~GTSP2167~1) 11542 reads remain after removing vector aligned reads and synchronizing.
[93.0 minutes]	Chunk 6: (pLinus~GTSP2167~1) 705 reads removed by virus read start test filter (10 NTs).
[93.0 minutes]	Chunk 6: (pLinus~GTSP2167~1) 705 reads removed after all filters.
[93.3 minutes]	Chunk 6: (pLinus~GTSP2167~1) 2 reads remaining after LTR/ITR capture.
[93.3 minutes]	Chunk 6: (pLinus~GTSP2167~1) captured random linker ids.
[93.3 minutes]	Chunk 6: (7782) reads remaining after read length filters.
[93.3 minutes]	Chunk 6: (pLinus~GTSP2167~1) completed with 7782 reads.
[93.8 minutes]	Chunk 6: (pLinus~GTSP2168~1) 204169 reads pass barcode filter.
