[86.8 minutes]	Chunk 24: (pM50~GTSP2160~1) 206722 reads pass barcode filter.
[86.9 minutes]	Chunk 24: (pM50~GTSP2160~1) 12596 reads pass linker code filter.
[86.9 minutes]	Chunk 24: (pM50~GTSP2160~1) 12436 reads pass all demultiplexing filters.
[87.0 minutes]	Chunk 24: (pM50~GTSP2160~1) 84 reads aligned to the vector and will be removed.
[87.0 minutes]	Chunk 24: (pM50~GTSP2160~1) 12400 reads remain after removing vector aligned reads and synchronizing.
[87.0 minutes]	Chunk 24: (pM50~GTSP2160~1) 751 reads removed by virus read start test filter (10 NTs).
[87.0 minutes]	Chunk 24: (pM50~GTSP2160~1) 751 reads removed after all filters.
[87.4 minutes]	Chunk 24: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.4 minutes]	Chunk 24: (pM50~GTSP2160~1) captured random linker ids.
[87.4 minutes]	Chunk 24: (6622) reads remaining after read length filters.
[87.4 minutes]	Chunk 24: (pM50~GTSP2160~1) completed with 6622 reads.
[87.9 minutes]	Chunk 24: (pM50~GTSP2161~1) 206722 reads pass barcode filter.
[87.9 minutes]	Chunk 24: (pM50~GTSP2161~1) 9054 reads pass linker code filter.
[87.9 minutes]	Chunk 24: (pM50~GTSP2161~1) 8907 reads pass all demultiplexing filters.
[88.0 minutes]	Chunk 24: (pM50~GTSP2161~1) 97 reads aligned to the vector and will be removed.
[88.0 minutes]	Chunk 24: (pM50~GTSP2161~1) 8864 reads remain after removing vector aligned reads and synchronizing.
[88.0 minutes]	Chunk 24: (pM50~GTSP2161~1) 552 reads removed by virus read start test filter (10 NTs).
[88.0 minutes]	Chunk 24: (pM50~GTSP2161~1) 552 reads removed after all filters.
[88.3 minutes]	Chunk 24: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.3 minutes]	Chunk 24: (pM50~GTSP2161~1) captured random linker ids.
[88.3 minutes]	Chunk 24: (4491) reads remaining after read length filters.
[88.3 minutes]	Chunk 24: (pM50~GTSP2161~1) completed with 4491 reads.
[88.8 minutes]	Chunk 24: (pM50~GTSP2162~1) 206722 reads pass barcode filter.
[88.8 minutes]	Chunk 24: (pM50~GTSP2162~1) 9602 reads pass linker code filter.
[88.8 minutes]	Chunk 24: (pM50~GTSP2162~1) 9476 reads pass all demultiplexing filters.
[88.9 minutes]	Chunk 24: (pM50~GTSP2162~1) 120 reads aligned to the vector and will be removed.
[89.0 minutes]	Chunk 24: (pM50~GTSP2162~1) 9428 reads remain after removing vector aligned reads and synchronizing.
[89.0 minutes]	Chunk 24: (pM50~GTSP2162~1) 594 reads removed by virus read start test filter (10 NTs).
[89.0 minutes]	Chunk 24: (pM50~GTSP2162~1) 594 reads removed after all filters.
[89.3 minutes]	Chunk 24: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.3 minutes]	Chunk 24: (pM50~GTSP2162~1) captured random linker ids.
[89.3 minutes]	Chunk 24: (5912) reads remaining after read length filters.
[89.3 minutes]	Chunk 24: (pM50~GTSP2162~1) completed with 5912 reads.
[89.8 minutes]	Chunk 24: (pM66~GTSP2163~1) 206722 reads pass barcode filter.
[89.8 minutes]	Chunk 24: (pM66~GTSP2163~1) 6427 reads pass linker code filter.
[89.9 minutes]	Chunk 24: (pM66~GTSP2163~1) 6329 reads pass all demultiplexing filters.
[89.9 minutes]	Chunk 24: (pM66~GTSP2163~1) 58 reads aligned to the vector and will be removed.
[89.9 minutes]	Chunk 24: (pM66~GTSP2163~1) 6297 reads remain after removing vector aligned reads and synchronizing.
[89.9 minutes]	Chunk 24: (pM66~GTSP2163~1) 309 reads removed by virus read start test filter (10 NTs).
[89.9 minutes]	Chunk 24: (pM66~GTSP2163~1) 309 reads removed after all filters.
[90.2 minutes]	Chunk 24: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[90.2 minutes]	Chunk 24: (pM66~GTSP2163~1) captured random linker ids.
[90.2 minutes]	Chunk 24: (3268) reads remaining after read length filters.
[90.2 minutes]	Chunk 24: (pM66~GTSP2163~1) completed with 3268 reads.
[90.6 minutes]	Chunk 24: (pM66~GTSP2164~1) 206722 reads pass barcode filter.
[90.7 minutes]	Chunk 24: (pM66~GTSP2164~1) 12105 reads pass linker code filter.
[90.7 minutes]	Chunk 24: (pM66~GTSP2164~1) 11924 reads pass all demultiplexing filters.
[90.8 minutes]	Chunk 24: (pM66~GTSP2164~1) 52 reads aligned to the vector and will be removed.
[90.8 minutes]	Chunk 24: (pM66~GTSP2164~1) 11906 reads remain after removing vector aligned reads and synchronizing.
[90.8 minutes]	Chunk 24: (pM66~GTSP2164~1) 326 reads removed by virus read start test filter (10 NTs).
[90.8 minutes]	Chunk 24: (pM66~GTSP2164~1) 326 reads removed after all filters.
[91.2 minutes]	Chunk 24: (pM66~GTSP2164~1) 2 reads remaining after LTR/ITR capture.
[91.2 minutes]	Chunk 24: (pM66~GTSP2164~1) captured random linker ids.
[91.2 minutes]	Chunk 24: (4579) reads remaining after read length filters.
[91.2 minutes]	Chunk 24: (pM66~GTSP2164~1) completed with 4579 reads.
[91.6 minutes]	Chunk 24: (pM66~GTSP2165~1) 206722 reads pass barcode filter.
[91.7 minutes]	Chunk 24: (pM66~GTSP2165~1) 3506 reads pass linker code filter.
[91.7 minutes]	Chunk 24: (pM66~GTSP2165~1) 3450 reads pass all demultiplexing filters.
[91.7 minutes]	Chunk 24: (pM66~GTSP2165~1) 68 reads aligned to the vector and will be removed.
[91.7 minutes]	Chunk 24: (pM66~GTSP2165~1) 3424 reads remain after removing vector aligned reads and synchronizing.
[91.7 minutes]	Chunk 24: (pM66~GTSP2165~1) 198 reads removed by virus read start test filter (10 NTs).
[91.7 minutes]	Chunk 24: (pM66~GTSP2165~1) 198 reads removed after all filters.
[91.9 minutes]	Chunk 24: (pM66~GTSP2165~1) 2 reads remaining after LTR/ITR capture.
[91.9 minutes]	Chunk 24: (pM66~GTSP2165~1) captured random linker ids.
[91.9 minutes]	Chunk 24: (2113) reads remaining after read length filters.
[91.9 minutes]	Chunk 24: (pM66~GTSP2165~1) completed with 2113 reads.
[92.4 minutes]	Chunk 24: (pLinus~GTSP2166~1) 206722 reads pass barcode filter.
[92.4 minutes]	Chunk 24: (pLinus~GTSP2166~1) 14330 reads pass linker code filter.
[92.4 minutes]	Chunk 24: (pLinus~GTSP2166~1) 14166 reads pass all demultiplexing filters.
[92.5 minutes]	Chunk 24: (pLinus~GTSP2166~1) 8 reads aligned to the vector and will be removed.
