[86.8 minutes]	Chunk 17: (pM50~GTSP2160~1) 207501 reads pass barcode filter.
[86.9 minutes]	Chunk 17: (pM50~GTSP2160~1) 12493 reads pass linker code filter.
[86.9 minutes]	Chunk 17: (pM50~GTSP2160~1) 12312 reads pass all demultiplexing filters.
[87.0 minutes]	Chunk 17: (pM50~GTSP2160~1) 99 reads aligned to the vector and will be removed.
[87.0 minutes]	Chunk 17: (pM50~GTSP2160~1) 12267 reads remain after removing vector aligned reads and synchronizing.
[87.0 minutes]	Chunk 17: (pM50~GTSP2160~1) 754 reads removed by virus read start test filter (10 NTs).
[87.0 minutes]	Chunk 17: (pM50~GTSP2160~1) 754 reads removed after all filters.
[87.4 minutes]	Chunk 17: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.4 minutes]	Chunk 17: (pM50~GTSP2160~1) captured random linker ids.
[87.4 minutes]	Chunk 17: (6468) reads remaining after read length filters.
[87.4 minutes]	Chunk 17: (pM50~GTSP2160~1) completed with 6468 reads.
[87.8 minutes]	Chunk 17: (pM50~GTSP2161~1) 207501 reads pass barcode filter.
[87.8 minutes]	Chunk 17: (pM50~GTSP2161~1) 8913 reads pass linker code filter.
[87.8 minutes]	Chunk 17: (pM50~GTSP2161~1) 8791 reads pass all demultiplexing filters.
[87.9 minutes]	Chunk 17: (pM50~GTSP2161~1) 107 reads aligned to the vector and will be removed.
[87.9 minutes]	Chunk 17: (pM50~GTSP2161~1) 8744 reads remain after removing vector aligned reads and synchronizing.
[87.9 minutes]	Chunk 17: (pM50~GTSP2161~1) 615 reads removed by virus read start test filter (10 NTs).
[87.9 minutes]	Chunk 17: (pM50~GTSP2161~1) 615 reads removed after all filters.
[88.2 minutes]	Chunk 17: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.2 minutes]	Chunk 17: (pM50~GTSP2161~1) captured random linker ids.
[88.2 minutes]	Chunk 17: (4376) reads remaining after read length filters.
[88.2 minutes]	Chunk 17: (pM50~GTSP2161~1) completed with 4376 reads.
[88.8 minutes]	Chunk 17: (pM50~GTSP2162~1) 207501 reads pass barcode filter.
[88.9 minutes]	Chunk 17: (pM50~GTSP2162~1) 9233 reads pass linker code filter.
[88.9 minutes]	Chunk 17: (pM50~GTSP2162~1) 9099 reads pass all demultiplexing filters.
[89.0 minutes]	Chunk 17: (pM50~GTSP2162~1) 207 reads aligned to the vector and will be removed.
[89.0 minutes]	Chunk 17: (pM50~GTSP2162~1) 9022 reads remain after removing vector aligned reads and synchronizing.
[89.0 minutes]	Chunk 17: (pM50~GTSP2162~1) 557 reads removed by virus read start test filter (10 NTs).
[89.0 minutes]	Chunk 17: (pM50~GTSP2162~1) 557 reads removed after all filters.
[89.3 minutes]	Chunk 17: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.3 minutes]	Chunk 17: (pM50~GTSP2162~1) captured random linker ids.
[89.4 minutes]	Chunk 17: (5621) reads remaining after read length filters.
[89.4 minutes]	Chunk 17: (pM50~GTSP2162~1) completed with 5621 reads.
[89.8 minutes]	Chunk 17: (pM66~GTSP2163~1) 207501 reads pass barcode filter.
[89.9 minutes]	Chunk 17: (pM66~GTSP2163~1) 6225 reads pass linker code filter.
[89.9 minutes]	Chunk 17: (pM66~GTSP2163~1) 6145 reads pass all demultiplexing filters.
[89.9 minutes]	Chunk 17: (pM66~GTSP2163~1) 52 reads aligned to the vector and will be removed.
[89.9 minutes]	Chunk 17: (pM66~GTSP2163~1) 6113 reads remain after removing vector aligned reads and synchronizing.
[89.9 minutes]	Chunk 17: (pM66~GTSP2163~1) 261 reads removed by virus read start test filter (10 NTs).
[89.9 minutes]	Chunk 17: (pM66~GTSP2163~1) 261 reads removed after all filters.
[90.2 minutes]	Chunk 17: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[90.2 minutes]	Chunk 17: (pM66~GTSP2163~1) captured random linker ids.
[90.2 minutes]	Chunk 17: (3075) reads remaining after read length filters.
[90.2 minutes]	Chunk 17: (pM66~GTSP2163~1) completed with 3075 reads.
[90.6 minutes]	Chunk 17: (pM66~GTSP2164~1) 207501 reads pass barcode filter.
[90.7 minutes]	Chunk 17: (pM66~GTSP2164~1) 12436 reads pass linker code filter.
[90.7 minutes]	Chunk 17: (pM66~GTSP2164~1) 12251 reads pass all demultiplexing filters.
