[86.8 minutes]	Chunk 23: (pM50~GTSP2160~1) 206373 reads pass barcode filter.
[86.9 minutes]	Chunk 23: (pM50~GTSP2160~1) 12603 reads pass linker code filter.
[86.9 minutes]	Chunk 23: (pM50~GTSP2160~1) 12396 reads pass all demultiplexing filters.
[87.0 minutes]	Chunk 23: (pM50~GTSP2160~1) 100 reads aligned to the vector and will be removed.
[87.0 minutes]	Chunk 23: (pM50~GTSP2160~1) 12356 reads remain after removing vector aligned reads and synchronizing.
[87.0 minutes]	Chunk 23: (pM50~GTSP2160~1) 746 reads removed by virus read start test filter (10 NTs).
[87.0 minutes]	Chunk 23: (pM50~GTSP2160~1) 746 reads removed after all filters.
[87.4 minutes]	Chunk 23: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.4 minutes]	Chunk 23: (pM50~GTSP2160~1) captured random linker ids.
[87.4 minutes]	Chunk 23: (6722) reads remaining after read length filters.
[87.4 minutes]	Chunk 23: (pM50~GTSP2160~1) completed with 6722 reads.
[87.9 minutes]	Chunk 23: (pM50~GTSP2161~1) 206373 reads pass barcode filter.
[88.0 minutes]	Chunk 23: (pM50~GTSP2161~1) 9086 reads pass linker code filter.
[88.0 minutes]	Chunk 23: (pM50~GTSP2161~1) 8958 reads pass all demultiplexing filters.
[88.0 minutes]	Chunk 23: (pM50~GTSP2161~1) 118 reads aligned to the vector and will be removed.
[88.0 minutes]	Chunk 23: (pM50~GTSP2161~1) 8908 reads remain after removing vector aligned reads and synchronizing.
[88.0 minutes]	Chunk 23: (pM50~GTSP2161~1) 575 reads removed by virus read start test filter (10 NTs).
[88.0 minutes]	Chunk 23: (pM50~GTSP2161~1) 575 reads removed after all filters.
[88.3 minutes]	Chunk 23: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.3 minutes]	Chunk 23: (pM50~GTSP2161~1) captured random linker ids.
[88.3 minutes]	Chunk 23: (4513) reads remaining after read length filters.
[88.3 minutes]	Chunk 23: (pM50~GTSP2161~1) completed with 4513 reads.
[88.8 minutes]	Chunk 23: (pM50~GTSP2162~1) 206373 reads pass barcode filter.
[88.8 minutes]	Chunk 23: (pM50~GTSP2162~1) 9441 reads pass linker code filter.
[88.8 minutes]	Chunk 23: (pM50~GTSP2162~1) 9304 reads pass all demultiplexing filters.
[88.9 minutes]	Chunk 23: (pM50~GTSP2162~1) 198 reads aligned to the vector and will be removed.
[88.9 minutes]	Chunk 23: (pM50~GTSP2162~1) 9230 reads remain after removing vector aligned reads and synchronizing.
[88.9 minutes]	Chunk 23: (pM50~GTSP2162~1) 550 reads removed by virus read start test filter (10 NTs).
[88.9 minutes]	Chunk 23: (pM50~GTSP2162~1) 550 reads removed after all filters.
[89.3 minutes]	Chunk 23: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.3 minutes]	Chunk 23: (pM50~GTSP2162~1) captured random linker ids.
[89.3 minutes]	Chunk 23: (5771) reads remaining after read length filters.
[89.3 minutes]	Chunk 23: (pM50~GTSP2162~1) completed with 5771 reads.
[89.8 minutes]	Chunk 23: (pM66~GTSP2163~1) 206373 reads pass barcode filter.
[89.8 minutes]	Chunk 23: (pM66~GTSP2163~1) 6424 reads pass linker code filter.
[89.8 minutes]	Chunk 23: (pM66~GTSP2163~1) 6322 reads pass all demultiplexing filters.
[89.8 minutes]	Chunk 23: (pM66~GTSP2163~1) 78 reads aligned to the vector and will be removed.
[89.8 minutes]	Chunk 23: (pM66~GTSP2163~1) 6286 reads remain after removing vector aligned reads and synchronizing.
[89.8 minutes]	Chunk 23: (pM66~GTSP2163~1) 309 reads removed by virus read start test filter (10 NTs).
[89.8 minutes]	Chunk 23: (pM66~GTSP2163~1) 309 reads removed after all filters.
[90.1 minutes]	Chunk 23: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[90.1 minutes]	Chunk 23: (pM66~GTSP2163~1) captured random linker ids.
[90.1 minutes]	Chunk 23: (3205) reads remaining after read length filters.
[90.1 minutes]	Chunk 23: (pM66~GTSP2163~1) completed with 3205 reads.
[90.5 minutes]	Chunk 23: (pM66~GTSP2164~1) 206373 reads pass barcode filter.
[90.6 minutes]	Chunk 23: (pM66~GTSP2164~1) 12285 reads pass linker code filter.
[90.6 minutes]	Chunk 23: (pM66~GTSP2164~1) 12115 reads pass all demultiplexing filters.
[90.7 minutes]	Chunk 23: (pM66~GTSP2164~1) 42 reads aligned to the vector and will be removed.
[90.7 minutes]	Chunk 23: (pM66~GTSP2164~1) 12097 reads remain after removing vector aligned reads and synchronizing.
[90.7 minutes]	Chunk 23: (pM66~GTSP2164~1) 319 reads removed by virus read start test filter (10 NTs).
[90.7 minutes]	Chunk 23: (pM66~GTSP2164~1) 319 reads removed after all filters.
[91.1 minutes]	Chunk 23: (pM66~GTSP2164~1) 2 reads remaining after LTR/ITR capture.
[91.1 minutes]	Chunk 23: (pM66~GTSP2164~1) captured random linker ids.
[91.1 minutes]	Chunk 23: (4600) reads remaining after read length filters.
[91.1 minutes]	Chunk 23: (pM66~GTSP2164~1) completed with 4600 reads.
[91.5 minutes]	Chunk 23: (pM66~GTSP2165~1) 206373 reads pass barcode filter.
[91.6 minutes]	Chunk 23: (pM66~GTSP2165~1) 4110 reads pass linker code filter.
[91.6 minutes]	Chunk 23: (pM66~GTSP2165~1) 4054 reads pass all demultiplexing filters.
[91.6 minutes]	Chunk 23: (pM66~GTSP2165~1) 64 reads aligned to the vector and will be removed.
[91.7 minutes]	Chunk 23: (pM66~GTSP2165~1) 4024 reads remain after removing vector aligned reads and synchronizing.
[91.7 minutes]	Chunk 23: (pM66~GTSP2165~1) 230 reads removed by virus read start test filter (10 NTs).
[91.7 minutes]	Chunk 23: (pM66~GTSP2165~1) 230 reads removed after all filters.
[91.8 minutes]	Chunk 23: (pM66~GTSP2165~1) 2 reads remaining after LTR/ITR capture.
[91.8 minutes]	Chunk 23: (pM66~GTSP2165~1) captured random linker ids.
[91.8 minutes]	Chunk 23: (2408) reads remaining after read length filters.
