[86.7 minutes]	Chunk 1: (pM50~GTSP2160~1) 203003 reads pass barcode filter.
[86.8 minutes]	Chunk 1: (pM50~GTSP2160~1) 11870 reads pass linker code filter.
[86.8 minutes]	Chunk 1: (pM50~GTSP2160~1) 11697 reads pass all demultiplexing filters.
[86.9 minutes]	Chunk 1: (pM50~GTSP2160~1) 58 reads aligned to the vector and will be removed.
[86.9 minutes]	Chunk 1: (pM50~GTSP2160~1) 11671 reads remain after removing vector aligned reads and synchronizing.
[86.9 minutes]	Chunk 1: (pM50~GTSP2160~1) 662 reads removed by virus read start test filter (10 NTs).
[86.9 minutes]	Chunk 1: (pM50~GTSP2160~1) 662 reads removed after all filters.
[87.2 minutes]	Chunk 1: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.2 minutes]	Chunk 1: (pM50~GTSP2160~1) captured random linker ids.
[87.2 minutes]	Chunk 1: (6001) reads remaining after read length filters.
[87.2 minutes]	Chunk 1: (pM50~GTSP2160~1) completed with 6001 reads.
[87.6 minutes]	Chunk 1: (pM50~GTSP2161~1) 203003 reads pass barcode filter.
[87.7 minutes]	Chunk 1: (pM50~GTSP2161~1) 8918 reads pass linker code filter.
[87.7 minutes]	Chunk 1: (pM50~GTSP2161~1) 8779 reads pass all demultiplexing filters.
[87.7 minutes]	Chunk 1: (pM50~GTSP2161~1) 87 reads aligned to the vector and will be removed.
[87.7 minutes]	Chunk 1: (pM50~GTSP2161~1) 8742 reads remain after removing vector aligned reads and synchronizing.
[87.7 minutes]	Chunk 1: (pM50~GTSP2161~1) 504 reads removed by virus read start test filter (10 NTs).
[87.7 minutes]	Chunk 1: (pM50~GTSP2161~1) 504 reads removed after all filters.
[88.1 minutes]	Chunk 1: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.1 minutes]	Chunk 1: (pM50~GTSP2161~1) captured random linker ids.
[88.1 minutes]	Chunk 1: (4247) reads remaining after read length filters.
[88.1 minutes]	Chunk 1: (pM50~GTSP2161~1) completed with 4247 reads.
[88.6 minutes]	Chunk 1: (pM50~GTSP2162~1) 203003 reads pass barcode filter.
[88.6 minutes]	Chunk 1: (pM50~GTSP2162~1) 8941 reads pass linker code filter.
[88.6 minutes]	Chunk 1: (pM50~GTSP2162~1) 8803 reads pass all demultiplexing filters.
[88.7 minutes]	Chunk 1: (pM50~GTSP2162~1) 170 reads aligned to the vector and will be removed.
[88.7 minutes]	Chunk 1: (pM50~GTSP2162~1) 8739 reads remain after removing vector aligned reads and synchronizing.
[88.7 minutes]	Chunk 1: (pM50~GTSP2162~1) 514 reads removed by virus read start test filter (10 NTs).
[88.7 minutes]	Chunk 1: (pM50~GTSP2162~1) 514 reads removed after all filters.
