[86.8 minutes]	Chunk 25: (pM50~GTSP2160~1) 206705 reads pass barcode filter.
[86.9 minutes]	Chunk 25: (pM50~GTSP2160~1) 12641 reads pass linker code filter.
[86.9 minutes]	Chunk 25: (pM50~GTSP2160~1) 12483 reads pass all demultiplexing filters.
[87.0 minutes]	Chunk 25: (pM50~GTSP2160~1) 100 reads aligned to the vector and will be removed.
[87.0 minutes]	Chunk 25: (pM50~GTSP2160~1) 12441 reads remain after removing vector aligned reads and synchronizing.
[87.0 minutes]	Chunk 25: (pM50~GTSP2160~1) 750 reads removed by virus read start test filter (10 NTs).
[87.0 minutes]	Chunk 25: (pM50~GTSP2160~1) 750 reads removed after all filters.
[87.4 minutes]	Chunk 25: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.4 minutes]	Chunk 25: (pM50~GTSP2160~1) captured random linker ids.
[87.4 minutes]	Chunk 25: (6817) reads remaining after read length filters.
[87.4 minutes]	Chunk 25: (pM50~GTSP2160~1) completed with 6817 reads.
[87.9 minutes]	Chunk 25: (pM50~GTSP2161~1) 206705 reads pass barcode filter.
[87.9 minutes]	Chunk 25: (pM50~GTSP2161~1) 9024 reads pass linker code filter.
[87.9 minutes]	Chunk 25: (pM50~GTSP2161~1) 8889 reads pass all demultiplexing filters.
[88.0 minutes]	Chunk 25: (pM50~GTSP2161~1) 117 reads aligned to the vector and will be removed.
[88.0 minutes]	Chunk 25: (pM50~GTSP2161~1) 8842 reads remain after removing vector aligned reads and synchronizing.
[88.0 minutes]	Chunk 25: (pM50~GTSP2161~1) 584 reads removed by virus read start test filter (10 NTs).
[88.0 minutes]	Chunk 25: (pM50~GTSP2161~1) 584 reads removed after all filters.
[88.4 minutes]	Chunk 25: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.4 minutes]	Chunk 25: (pM50~GTSP2161~1) captured random linker ids.
[88.4 minutes]	Chunk 25: (4527) reads remaining after read length filters.
[88.4 minutes]	Chunk 25: (pM50~GTSP2161~1) completed with 4527 reads.
[88.8 minutes]	Chunk 25: (pM50~GTSP2162~1) 206705 reads pass barcode filter.
[88.9 minutes]	Chunk 25: (pM50~GTSP2162~1) 9485 reads pass linker code filter.
[88.9 minutes]	Chunk 25: (pM50~GTSP2162~1) 9332 reads pass all demultiplexing filters.
[89.0 minutes]	Chunk 25: (pM50~GTSP2162~1) 185 reads aligned to the vector and will be removed.
[89.0 minutes]	Chunk 25: (pM50~GTSP2162~1) 9261 reads remain after removing vector aligned reads and synchronizing.
[89.0 minutes]	Chunk 25: (pM50~GTSP2162~1) 583 reads removed by virus read start test filter (10 NTs).
[89.0 minutes]	Chunk 25: (pM50~GTSP2162~1) 583 reads removed after all filters.
[89.3 minutes]	Chunk 25: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.3 minutes]	Chunk 25: (pM50~GTSP2162~1) captured random linker ids.
[89.3 minutes]	Chunk 25: (5787) reads remaining after read length filters.
[89.3 minutes]	Chunk 25: (pM50~GTSP2162~1) completed with 5787 reads.
[89.8 minutes]	Chunk 25: (pM66~GTSP2163~1) 206705 reads pass barcode filter.
[89.8 minutes]	Chunk 25: (pM66~GTSP2163~1) 6367 reads pass linker code filter.
[89.8 minutes]	Chunk 25: (pM66~GTSP2163~1) 6262 reads pass all demultiplexing filters.
[89.9 minutes]	Chunk 25: (pM66~GTSP2163~1) 50 reads aligned to the vector and will be removed.
[89.9 minutes]	Chunk 25: (pM66~GTSP2163~1) 6230 reads remain after removing vector aligned reads and synchronizing.
[89.9 minutes]	Chunk 25: (pM66~GTSP2163~1) 315 reads removed by virus read start test filter (10 NTs).
[89.9 minutes]	Chunk 25: (pM66~GTSP2163~1) 315 reads removed after all filters.
[90.1 minutes]	Chunk 25: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[90.1 minutes]	Chunk 25: (pM66~GTSP2163~1) captured random linker ids.
[90.1 minutes]	Chunk 25: (3243) reads remaining after read length filters.
[90.1 minutes]	Chunk 25: (pM66~GTSP2163~1) completed with 3243 reads.
[90.6 minutes]	Chunk 25: (pM66~GTSP2164~1) 206705 reads pass barcode filter.
[90.6 minutes]	Chunk 25: (pM66~GTSP2164~1) 12039 reads pass linker code filter.
[90.6 minutes]	Chunk 25: (pM66~GTSP2164~1) 11848 reads pass all demultiplexing filters.
[90.8 minutes]	Chunk 25: (pM66~GTSP2164~1) 34 reads aligned to the vector and will be removed.
[90.8 minutes]	Chunk 25: (pM66~GTSP2164~1) 11834 reads remain after removing vector aligned reads and synchronizing.
[90.8 minutes]	Chunk 25: (pM66~GTSP2164~1) 315 reads removed by virus read start test filter (10 NTs).
[90.8 minutes]	Chunk 25: (pM66~GTSP2164~1) 315 reads removed after all filters.
[91.1 minutes]	Chunk 25: (pM66~GTSP2164~1) 2 reads remaining after LTR/ITR capture.
[91.1 minutes]	Chunk 25: (pM66~GTSP2164~1) captured random linker ids.
[91.1 minutes]	Chunk 25: (4596) reads remaining after read length filters.
[91.1 minutes]	Chunk 25: (pM66~GTSP2164~1) completed with 4596 reads.
[91.6 minutes]	Chunk 25: (pM66~GTSP2165~1) 206705 reads pass barcode filter.
[91.6 minutes]	Chunk 25: (pM66~GTSP2165~1) 3028 reads pass linker code filter.
[91.6 minutes]	Chunk 25: (pM66~GTSP2165~1) 2979 reads pass all demultiplexing filters.
[91.7 minutes]	Chunk 25: (pM66~GTSP2165~1) 71 reads aligned to the vector and will be removed.
[91.7 minutes]	Chunk 25: (pM66~GTSP2165~1) 2952 reads remain after removing vector aligned reads and synchronizing.
[91.7 minutes]	Chunk 25: (pM66~GTSP2165~1) 169 reads removed by virus read start test filter (10 NTs).
[91.7 minutes]	Chunk 25: (pM66~GTSP2165~1) 169 reads removed after all filters.
[91.8 minutes]	Chunk 25: (pM66~GTSP2165~1) 2 reads remaining after LTR/ITR capture.
[91.8 minutes]	Chunk 25: (pM66~GTSP2165~1) captured random linker ids.
[91.8 minutes]	Chunk 25: (1931) reads remaining after read length filters.
[91.8 minutes]	Chunk 25: (pM66~GTSP2165~1) completed with 1931 reads.
[92.3 minutes]	Chunk 25: (pLinus~GTSP2166~1) 206705 reads pass barcode filter.
[92.3 minutes]	Chunk 25: (pLinus~GTSP2166~1) 14218 reads pass linker code filter.
[92.3 minutes]	Chunk 25: (pLinus~GTSP2166~1) 14041 reads pass all demultiplexing filters.
[92.4 minutes]	Chunk 25: (pLinus~GTSP2166~1) 7 reads aligned to the vector and will be removed.
[92.4 minutes]	Chunk 25: (pLinus~GTSP2166~1) 14038 reads remain after removing vector aligned reads and synchronizing.
[92.4 minutes]	Chunk 25: (pLinus~GTSP2166~1) 564 reads removed by virus read start test filter (10 NTs).
[92.4 minutes]	Chunk 25: (pLinus~GTSP2166~1) 564 reads removed after all filters.
[92.8 minutes]	Chunk 25: (pLinus~GTSP2166~1) 2 reads remaining after LTR/ITR capture.
[92.8 minutes]	Chunk 25: (pLinus~GTSP2166~1) captured random linker ids.
[92.8 minutes]	Chunk 25: (7615) reads remaining after read length filters.
[92.8 minutes]	Chunk 25: (pLinus~GTSP2166~1) completed with 7615 reads.
[93.3 minutes]	Chunk 25: (pLinus~GTSP2167~1) 206705 reads pass barcode filter.
[93.3 minutes]	Chunk 25: (pLinus~GTSP2167~1) 12615 reads pass linker code filter.
[93.3 minutes]	Chunk 25: (pLinus~GTSP2167~1) 12463 reads pass all demultiplexing filters.
[93.4 minutes]	Chunk 25: (pLinus~GTSP2167~1) 6 reads aligned to the vector and will be removed.
[93.4 minutes]	Chunk 25: (pLinus~GTSP2167~1) 12461 reads remain after removing vector aligned reads and synchronizing.
[93.4 minutes]	Chunk 25: (pLinus~GTSP2167~1) 731 reads removed by virus read start test filter (10 NTs).
[93.4 minutes]	Chunk 25: (pLinus~GTSP2167~1) 731 reads removed after all filters.
[93.8 minutes]	Chunk 25: (pLinus~GTSP2167~1) 2 reads remaining after LTR/ITR capture.
[93.8 minutes]	Chunk 25: (pLinus~GTSP2167~1) captured random linker ids.
[93.8 minutes]	Chunk 25: (8638) reads remaining after read length filters.
[93.8 minutes]	Chunk 25: (pLinus~GTSP2167~1) completed with 8638 reads.
[94.3 minutes]	Chunk 25: (pLinus~GTSP2168~1) 206705 reads pass barcode filter.
[94.3 minutes]	Chunk 25: (pLinus~GTSP2168~1) 10748 reads pass linker code filter.
[94.3 minutes]	Chunk 25: (pLinus~GTSP2168~1) 10596 reads pass all demultiplexing filters.
[94.4 minutes]	Chunk 25: (pLinus~GTSP2168~1) 6 reads aligned to the vector and will be removed.
[94.4 minutes]	Chunk 25: (pLinus~GTSP2168~1) 10594 reads remain after removing vector aligned reads and synchronizing.
[94.4 minutes]	Chunk 25: (pLinus~GTSP2168~1) 549 reads removed by virus read start test filter (10 NTs).
[94.4 minutes]	Chunk 25: (pLinus~GTSP2168~1) 549 reads removed after all filters.
[94.7 minutes]	Chunk 25: (pLinus~GTSP2168~1) 2 reads remaining after LTR/ITR capture.
[94.8 minutes]	Chunk 25: (pLinus~GTSP2168~1) captured random linker ids.
[94.8 minutes]	Chunk 25: (5772) reads remaining after read length filters.
[94.8 minutes]	Chunk 25: (pLinus~GTSP2168~1) completed with 5772 reads.
[95.2 minutes]	Chunk 25: (NTC~NTC1~1) 206705 reads pass barcode filter.
[95.2 minutes]	Chunk 25: (NTC~NTC1~1) 0 reads pass linker code filter.
[95.2 minutes]	Chunk 25: (NTC~NTC1~1) No reads demultiplexed.
[95.7 minutes]	Chunk 25: (pH19~GTSP2169~1) 206705 reads pass barcode filter.
[95.7 minutes]	Chunk 25: (pH19~GTSP2169~1) 5765 reads pass linker code filter.
[95.7 minutes]	Chunk 25: (pH19~GTSP2169~1) 5683 reads pass all demultiplexing filters.
[95.8 minutes]	Chunk 25: (pH19~GTSP2169~1) 32 reads aligned to the vector and will be removed.
[95.8 minutes]	Chunk 25: (pH19~GTSP2169~1) 5669 reads remain after removing vector aligned reads and synchronizing.
[95.8 minutes]	Chunk 25: (pH19~GTSP2169~1) 337 reads removed by virus read start test filter (10 NTs).
[95.8 minutes]	Chunk 25: (pH19~GTSP2169~1) 337 reads removed after all filters.
[95.9 minutes]	Chunk 25: (pH19~GTSP2169~1) 2 reads remaining after LTR/ITR capture.
[95.9 minutes]	Chunk 25: (pH19~GTSP2169~1) captured random linker ids.
[96.0 minutes]	Chunk 25: (3029) reads remaining after read length filters.
[96.0 minutes]	Chunk 25: (pH19~GTSP2169~1) completed with 3029 reads.
[96.4 minutes]	Chunk 25: (pH19~GTSP2170~1) 206705 reads pass barcode filter.
[96.5 minutes]	Chunk 25: (pH19~GTSP2170~1) 6208 reads pass linker code filter.
[96.5 minutes]	Chunk 25: (pH19~GTSP2170~1) 6118 reads pass all demultiplexing filters.
[96.5 minutes]	Chunk 25: (pH19~GTSP2170~1) 46 reads aligned to the vector and will be removed.
[96.5 minutes]	Chunk 25: (pH19~GTSP2170~1) 6097 reads remain after removing vector aligned reads and synchronizing.
[96.5 minutes]	Chunk 25: (pH19~GTSP2170~1) 276 reads removed by virus read start test filter (10 NTs).
[96.5 minutes]	Chunk 25: (pH19~GTSP2170~1) 276 reads removed after all filters.
[96.7 minutes]	Chunk 25: (pH19~GTSP2170~1) 2 reads remaining after LTR/ITR capture.
[96.7 minutes]	Chunk 25: (pH19~GTSP2170~1) captured random linker ids.
[96.7 minutes]	Chunk 25: (3689) reads remaining after read length filters.
[96.7 minutes]	Chunk 25: (pH19~GTSP2170~1) completed with 3689 reads.
