[87.0 minutes]	Chunk 9: (pM50~GTSP2160~1) 202612 reads pass barcode filter.
[87.1 minutes]	Chunk 9: (pM50~GTSP2160~1) 12169 reads pass linker code filter.
[87.1 minutes]	Chunk 9: (pM50~GTSP2160~1) 11993 reads pass all demultiplexing filters.
[87.2 minutes]	Chunk 9: (pM50~GTSP2160~1) 83 reads aligned to the vector and will be removed.
[87.2 minutes]	Chunk 9: (pM50~GTSP2160~1) 11956 reads remain after removing vector aligned reads and synchronizing.
[87.2 minutes]	Chunk 9: (pM50~GTSP2160~1) 698 reads removed by virus read start test filter (10 NTs).
[87.2 minutes]	Chunk 9: (pM50~GTSP2160~1) 698 reads removed after all filters.
[87.6 minutes]	Chunk 9: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.6 minutes]	Chunk 9: (pM50~GTSP2160~1) captured random linker ids.
[87.6 minutes]	Chunk 9: (6064) reads remaining after read length filters.
[87.6 minutes]	Chunk 9: (pM50~GTSP2160~1) completed with 6064 reads.
[88.0 minutes]	Chunk 9: (pM50~GTSP2161~1) 202612 reads pass barcode filter.
[88.1 minutes]	Chunk 9: (pM50~GTSP2161~1) 8972 reads pass linker code filter.
[88.1 minutes]	Chunk 9: (pM50~GTSP2161~1) 8822 reads pass all demultiplexing filters.
[88.2 minutes]	Chunk 9: (pM50~GTSP2161~1) 75 reads aligned to the vector and will be removed.
[88.2 minutes]	Chunk 9: (pM50~GTSP2161~1) 8789 reads remain after removing vector aligned reads and synchronizing.
[88.2 minutes]	Chunk 9: (pM50~GTSP2161~1) 560 reads removed by virus read start test filter (10 NTs).
[88.2 minutes]	Chunk 9: (pM50~GTSP2161~1) 560 reads removed after all filters.
[88.5 minutes]	Chunk 9: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.5 minutes]	Chunk 9: (pM50~GTSP2161~1) captured random linker ids.
[88.5 minutes]	Chunk 9: (4267) reads remaining after read length filters.
[88.5 minutes]	Chunk 9: (pM50~GTSP2161~1) completed with 4267 reads.
[89.0 minutes]	Chunk 9: (pM50~GTSP2162~1) 202612 reads pass barcode filter.
[89.0 minutes]	Chunk 9: (pM50~GTSP2162~1) 9093 reads pass linker code filter.
[89.0 minutes]	Chunk 9: (pM50~GTSP2162~1) 8983 reads pass all demultiplexing filters.
[89.1 minutes]	Chunk 9: (pM50~GTSP2162~1) 185 reads aligned to the vector and will be removed.
[89.1 minutes]	Chunk 9: (pM50~GTSP2162~1) 8914 reads remain after removing vector aligned reads and synchronizing.
[89.1 minutes]	Chunk 9: (pM50~GTSP2162~1) 556 reads removed by virus read start test filter (10 NTs).
[89.1 minutes]	Chunk 9: (pM50~GTSP2162~1) 556 reads removed after all filters.
[89.5 minutes]	Chunk 9: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.5 minutes]	Chunk 9: (pM50~GTSP2162~1) captured random linker ids.
[89.5 minutes]	Chunk 9: (5354) reads remaining after read length filters.
[89.5 minutes]	Chunk 9: (pM50~GTSP2162~1) completed with 5354 reads.
[89.9 minutes]	Chunk 9: (pM66~GTSP2163~1) 202612 reads pass barcode filter.
[89.9 minutes]	Chunk 9: (pM66~GTSP2163~1) 6407 reads pass linker code filter.
[89.9 minutes]	Chunk 9: (pM66~GTSP2163~1) 6319 reads pass all demultiplexing filters.
[90.0 minutes]	Chunk 9: (pM66~GTSP2163~1) 33 reads aligned to the vector and will be removed.
[90.0 minutes]	Chunk 9: (pM66~GTSP2163~1) 6298 reads remain after removing vector aligned reads and synchronizing.
[90.0 minutes]	Chunk 9: (pM66~GTSP2163~1) 355 reads removed by virus read start test filter (10 NTs).
[90.0 minutes]	Chunk 9: (pM66~GTSP2163~1) 355 reads removed after all filters.
[90.2 minutes]	Chunk 9: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[90.2 minutes]	Chunk 9: (pM66~GTSP2163~1) captured random linker ids.
[90.2 minutes]	Chunk 9: (3022) reads remaining after read length filters.
[90.2 minutes]	Chunk 9: (pM66~GTSP2163~1) completed with 3022 reads.
[90.7 minutes]	Chunk 9: (pM66~GTSP2164~1) 202612 reads pass barcode filter.
[90.7 minutes]	Chunk 9: (pM66~GTSP2164~1) 11106 reads pass linker code filter.
[90.7 minutes]	Chunk 9: (pM66~GTSP2164~1) 10931 reads pass all demultiplexing filters.
[90.8 minutes]	Chunk 9: (pM66~GTSP2164~1) 49 reads aligned to the vector and will be removed.
[90.8 minutes]	Chunk 9: (pM66~GTSP2164~1) 10912 reads remain after removing vector aligned reads and synchronizing.
[90.8 minutes]	Chunk 9: (pM66~GTSP2164~1) 299 reads removed by virus read start test filter (10 NTs).
[90.8 minutes]	Chunk 9: (pM66~GTSP2164~1) 299 reads removed after all filters.
[91.2 minutes]	Chunk 9: (pM66~GTSP2164~1) 2 reads remaining after LTR/ITR capture.
[91.2 minutes]	Chunk 9: (pM66~GTSP2164~1) captured random linker ids.
[91.2 minutes]	Chunk 9: (3718) reads remaining after read length filters.
[91.2 minutes]	Chunk 9: (pM66~GTSP2164~1) completed with 3718 reads.
[91.6 minutes]	Chunk 9: (pM66~GTSP2165~1) 202612 reads pass barcode filter.
[91.6 minutes]	Chunk 9: (pM66~GTSP2165~1) 2282 reads pass linker code filter.
[91.6 minutes]	Chunk 9: (pM66~GTSP2165~1) 2241 reads pass all demultiplexing filters.
[91.7 minutes]	Chunk 9: (pM66~GTSP2165~1) 48 reads aligned to the vector and will be removed.
[91.7 minutes]	Chunk 9: (pM66~GTSP2165~1) 2221 reads remain after removing vector aligned reads and synchronizing.
[91.7 minutes]	Chunk 9: (pM66~GTSP2165~1) 124 reads removed by virus read start test filter (10 NTs).
[91.7 minutes]	Chunk 9: (pM66~GTSP2165~1) 124 reads removed after all filters.
[91.8 minutes]	Chunk 9: (pM66~GTSP2165~1) 2 reads remaining after LTR/ITR capture.
[91.8 minutes]	Chunk 9: (pM66~GTSP2165~1) captured random linker ids.
[91.8 minutes]	Chunk 9: (1376) reads remaining after read length filters.
[91.8 minutes]	Chunk 9: (pM66~GTSP2165~1) completed with 1376 reads.
[92.3 minutes]	Chunk 9: (pLinus~GTSP2166~1) 202612 reads pass barcode filter.
[92.3 minutes]	Chunk 9: (pLinus~GTSP2166~1) 14313 reads pass linker code filter.
[92.3 minutes]	Chunk 9: (pLinus~GTSP2166~1) 14128 reads pass all demultiplexing filters.
[92.5 minutes]	Chunk 9: (pLinus~GTSP2166~1) 10 reads aligned to the vector and will be removed.
[92.5 minutes]	Chunk 9: (pLinus~GTSP2166~1) 14124 reads remain after removing vector aligned reads and synchronizing.
[92.5 minutes]	Chunk 9: (pLinus~GTSP2166~1) 600 reads removed by virus read start test filter (10 NTs).
[92.5 minutes]	Chunk 9: (pLinus~GTSP2166~1) 600 reads removed after all filters.
[92.8 minutes]	Chunk 9: (pLinus~GTSP2166~1) 2 reads remaining after LTR/ITR capture.
[92.8 minutes]	Chunk 9: (pLinus~GTSP2166~1) captured random linker ids.
[92.8 minutes]	Chunk 9: (7224) reads remaining after read length filters.
[92.8 minutes]	Chunk 9: (pLinus~GTSP2166~1) completed with 7224 reads.
[93.3 minutes]	Chunk 9: (pLinus~GTSP2167~1) 202612 reads pass barcode filter.
[93.3 minutes]	Chunk 9: (pLinus~GTSP2167~1) 11823 reads pass linker code filter.
[93.3 minutes]	Chunk 9: (pLinus~GTSP2167~1) 11678 reads pass all demultiplexing filters.
[93.4 minutes]	Chunk 9: (pLinus~GTSP2167~1) 0 reads aligned to the vector and will be removed.
[93.4 minutes]	Chunk 9: (pLinus~GTSP2167~1) 11678 reads remain after removing vector aligned reads and synchronizing.
[93.4 minutes]	Chunk 9: (pLinus~GTSP2167~1) 685 reads removed by virus read start test filter (10 NTs).
[93.4 minutes]	Chunk 9: (pLinus~GTSP2167~1) 685 reads removed after all filters.
[93.8 minutes]	Chunk 9: (pLinus~GTSP2167~1) 2 reads remaining after LTR/ITR capture.
[93.8 minutes]	Chunk 9: (pLinus~GTSP2167~1) captured random linker ids.
[93.8 minutes]	Chunk 9: (7886) reads remaining after read length filters.
[93.8 minutes]	Chunk 9: (pLinus~GTSP2167~1) completed with 7886 reads.
[94.2 minutes]	Chunk 9: (pLinus~GTSP2168~1) 202612 reads pass barcode filter.
[94.2 minutes]	Chunk 9: (pLinus~GTSP2168~1) 10491 reads pass linker code filter.
[94.2 minutes]	Chunk 9: (pLinus~GTSP2168~1) 10354 reads pass all demultiplexing filters.
[94.3 minutes]	Chunk 9: (pLinus~GTSP2168~1) 0 reads aligned to the vector and will be removed.
[94.3 minutes]	Chunk 9: (pLinus~GTSP2168~1) 10354 reads remain after removing vector aligned reads and synchronizing.
[94.3 minutes]	Chunk 9: (pLinus~GTSP2168~1) 530 reads removed by virus read start test filter (10 NTs).
[94.3 minutes]	Chunk 9: (pLinus~GTSP2168~1) 530 reads removed after all filters.
[94.6 minutes]	Chunk 9: (pLinus~GTSP2168~1) 2 reads remaining after LTR/ITR capture.
[94.6 minutes]	Chunk 9: (pLinus~GTSP2168~1) captured random linker ids.
[94.6 minutes]	Chunk 9: (5334) reads remaining after read length filters.
[94.6 minutes]	Chunk 9: (pLinus~GTSP2168~1) completed with 5334 reads.
[95.0 minutes]	Chunk 9: (NTC~NTC1~1) 202612 reads pass barcode filter.
[95.1 minutes]	Chunk 9: (NTC~NTC1~1) 0 reads pass linker code filter.
[95.1 minutes]	Chunk 9: (NTC~NTC1~1) No reads demultiplexed.
[95.5 minutes]	Chunk 9: (pH19~GTSP2169~1) 202612 reads pass barcode filter.
[95.5 minutes]	Chunk 9: (pH19~GTSP2169~1) 6180 reads pass linker code filter.
[95.5 minutes]	Chunk 9: (pH19~GTSP2169~1) 6098 reads pass all demultiplexing filters.
[95.6 minutes]	Chunk 9: (pH19~GTSP2169~1) 28 reads aligned to the vector and will be removed.
[95.6 minutes]	Chunk 9: (pH19~GTSP2169~1) 6086 reads remain after removing vector aligned reads and synchronizing.
[95.6 minutes]	Chunk 9: (pH19~GTSP2169~1) 337 reads removed by virus read start test filter (10 NTs).
[95.6 minutes]	Chunk 9: (pH19~GTSP2169~1) 337 reads removed after all filters.
[95.7 minutes]	Chunk 9: (pH19~GTSP2169~1) 2 reads remaining after LTR/ITR capture.
[95.7 minutes]	Chunk 9: (pH19~GTSP2169~1) captured random linker ids.
[95.8 minutes]	Chunk 9: (3105) reads remaining after read length filters.
[95.8 minutes]	Chunk 9: (pH19~GTSP2169~1) completed with 3105 reads.
[96.2 minutes]	Chunk 9: (pH19~GTSP2170~1) 202612 reads pass barcode filter.
[96.2 minutes]	Chunk 9: (pH19~GTSP2170~1) 6404 reads pass linker code filter.
