[87.0 minutes]	Chunk 27: (pM50~GTSP2160~1) 209545 reads pass barcode filter.
[87.1 minutes]	Chunk 27: (pM50~GTSP2160~1) 12767 reads pass linker code filter.
[87.1 minutes]	Chunk 27: (pM50~GTSP2160~1) 12599 reads pass all demultiplexing filters.
[87.2 minutes]	Chunk 27: (pM50~GTSP2160~1) 100 reads aligned to the vector and will be removed.
[87.2 minutes]	Chunk 27: (pM50~GTSP2160~1) 12559 reads remain after removing vector aligned reads and synchronizing.
[87.2 minutes]	Chunk 27: (pM50~GTSP2160~1) 726 reads removed by virus read start test filter (10 NTs).
[87.2 minutes]	Chunk 27: (pM50~GTSP2160~1) 726 reads removed after all filters.
[87.6 minutes]	Chunk 27: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.6 minutes]	Chunk 27: (pM50~GTSP2160~1) captured random linker ids.
[87.6 minutes]	Chunk 27: (6837) reads remaining after read length filters.
[87.6 minutes]	Chunk 27: (pM50~GTSP2160~1) completed with 6837 reads.
[88.1 minutes]	Chunk 27: (pM50~GTSP2161~1) 209545 reads pass barcode filter.
[88.1 minutes]	Chunk 27: (pM50~GTSP2161~1) 9358 reads pass linker code filter.
[88.1 minutes]	Chunk 27: (pM50~GTSP2161~1) 9221 reads pass all demultiplexing filters.
[88.2 minutes]	Chunk 27: (pM50~GTSP2161~1) 101 reads aligned to the vector and will be removed.
[88.2 minutes]	Chunk 27: (pM50~GTSP2161~1) 9176 reads remain after removing vector aligned reads and synchronizing.
[88.2 minutes]	Chunk 27: (pM50~GTSP2161~1) 623 reads removed by virus read start test filter (10 NTs).
[88.2 minutes]	Chunk 27: (pM50~GTSP2161~1) 623 reads removed after all filters.
[88.6 minutes]	Chunk 27: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.6 minutes]	Chunk 27: (pM50~GTSP2161~1) captured random linker ids.
[88.6 minutes]	Chunk 27: (4789) reads remaining after read length filters.
[88.6 minutes]	Chunk 27: (pM50~GTSP2161~1) completed with 4789 reads.
[89.0 minutes]	Chunk 27: (pM50~GTSP2162~1) 209545 reads pass barcode filter.
[89.0 minutes]	Chunk 27: (pM50~GTSP2162~1) 9759 reads pass linker code filter.
[89.0 minutes]	Chunk 27: (pM50~GTSP2162~1) 9618 reads pass all demultiplexing filters.
[89.2 minutes]	Chunk 27: (pM50~GTSP2162~1) 185 reads aligned to the vector and will be removed.
[89.2 minutes]	Chunk 27: (pM50~GTSP2162~1) 9549 reads remain after removing vector aligned reads and synchronizing.
[89.2 minutes]	Chunk 27: (pM50~GTSP2162~1) 572 reads removed by virus read start test filter (10 NTs).
[89.2 minutes]	Chunk 27: (pM50~GTSP2162~1) 572 reads removed after all filters.
[89.5 minutes]	Chunk 27: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.5 minutes]	Chunk 27: (pM50~GTSP2162~1) captured random linker ids.
[89.5 minutes]	Chunk 27: (5973) reads remaining after read length filters.
[89.5 minutes]	Chunk 27: (pM50~GTSP2162~1) completed with 5973 reads.
[90.0 minutes]	Chunk 27: (pM66~GTSP2163~1) 209545 reads pass barcode filter.
[90.0 minutes]	Chunk 27: (pM66~GTSP2163~1) 6578 reads pass linker code filter.
[90.0 minutes]	Chunk 27: (pM66~GTSP2163~1) 6482 reads pass all demultiplexing filters.
[90.1 minutes]	Chunk 27: (pM66~GTSP2163~1) 56 reads aligned to the vector and will be removed.
[90.1 minutes]	Chunk 27: (pM66~GTSP2163~1) 6456 reads remain after removing vector aligned reads and synchronizing.
[90.1 minutes]	Chunk 27: (pM66~GTSP2163~1) 349 reads removed by virus read start test filter (10 NTs).
[90.1 minutes]	Chunk 27: (pM66~GTSP2163~1) 349 reads removed after all filters.
[90.3 minutes]	Chunk 27: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[90.3 minutes]	Chunk 27: (pM66~GTSP2163~1) captured random linker ids.
[90.3 minutes]	Chunk 27: (3377) reads remaining after read length filters.
[90.3 minutes]	Chunk 27: (pM66~GTSP2163~1) completed with 3377 reads.
[90.8 minutes]	Chunk 27: (pM66~GTSP2164~1) 209545 reads pass barcode filter.
[90.8 minutes]	Chunk 27: (pM66~GTSP2164~1) 11056 reads pass linker code filter.
