[87.1 minutes]	Chunk 4: (pM50~GTSP2160~1) 203791 reads pass barcode filter.
[87.2 minutes]	Chunk 4: (pM50~GTSP2160~1) 11738 reads pass linker code filter.
[87.2 minutes]	Chunk 4: (pM50~GTSP2160~1) 11592 reads pass all demultiplexing filters.
[87.3 minutes]	Chunk 4: (pM50~GTSP2160~1) 78 reads aligned to the vector and will be removed.
[87.3 minutes]	Chunk 4: (pM50~GTSP2160~1) 11554 reads remain after removing vector aligned reads and synchronizing.
[87.3 minutes]	Chunk 4: (pM50~GTSP2160~1) 660 reads removed by virus read start test filter (10 NTs).
[87.3 minutes]	Chunk 4: (pM50~GTSP2160~1) 660 reads removed after all filters.
[87.6 minutes]	Chunk 4: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.6 minutes]	Chunk 4: (pM50~GTSP2160~1) captured random linker ids.
[87.6 minutes]	Chunk 4: (5938) reads remaining after read length filters.
[87.6 minutes]	Chunk 4: (pM50~GTSP2160~1) completed with 5938 reads.
[88.0 minutes]	Chunk 4: (pM50~GTSP2161~1) 203791 reads pass barcode filter.
[88.1 minutes]	Chunk 4: (pM50~GTSP2161~1) 8823 reads pass linker code filter.
[88.1 minutes]	Chunk 4: (pM50~GTSP2161~1) 8700 reads pass all demultiplexing filters.
[88.2 minutes]	Chunk 4: (pM50~GTSP2161~1) 94 reads aligned to the vector and will be removed.
[88.2 minutes]	Chunk 4: (pM50~GTSP2161~1) 8656 reads remain after removing vector aligned reads and synchronizing.
[88.2 minutes]	Chunk 4: (pM50~GTSP2161~1) 552 reads removed by virus read start test filter (10 NTs).
[88.2 minutes]	Chunk 4: (pM50~GTSP2161~1) 552 reads removed after all filters.
[88.5 minutes]	Chunk 4: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.5 minutes]	Chunk 4: (pM50~GTSP2161~1) captured random linker ids.
[88.5 minutes]	Chunk 4: (4199) reads remaining after read length filters.
[88.5 minutes]	Chunk 4: (pM50~GTSP2161~1) completed with 4199 reads.
[89.0 minutes]	Chunk 4: (pM50~GTSP2162~1) 203791 reads pass barcode filter.
[89.0 minutes]	Chunk 4: (pM50~GTSP2162~1) 8856 reads pass linker code filter.
[89.0 minutes]	Chunk 4: (pM50~GTSP2162~1) 8740 reads pass all demultiplexing filters.
[89.2 minutes]	Chunk 4: (pM50~GTSP2162~1) 179 reads aligned to the vector and will be removed.
[89.2 minutes]	Chunk 4: (pM50~GTSP2162~1) 8669 reads remain after removing vector aligned reads and synchronizing.
[89.2 minutes]	Chunk 4: (pM50~GTSP2162~1) 546 reads removed by virus read start test filter (10 NTs).
[89.2 minutes]	Chunk 4: (pM50~GTSP2162~1) 546 reads removed after all filters.
[89.5 minutes]	Chunk 4: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.5 minutes]	Chunk 4: (pM50~GTSP2162~1) captured random linker ids.
[89.5 minutes]	Chunk 4: (5213) reads remaining after read length filters.
[89.5 minutes]	Chunk 4: (pM50~GTSP2162~1) completed with 5213 reads.
[89.9 minutes]	Chunk 4: (pM66~GTSP2163~1) 203791 reads pass barcode filter.
[90.0 minutes]	Chunk 4: (pM66~GTSP2163~1) 6213 reads pass linker code filter.
[90.0 minutes]	Chunk 4: (pM66~GTSP2163~1) 6128 reads pass all demultiplexing filters.
[90.0 minutes]	Chunk 4: (pM66~GTSP2163~1) 53 reads aligned to the vector and will be removed.
[90.0 minutes]	Chunk 4: (pM66~GTSP2163~1) 6101 reads remain after removing vector aligned reads and synchronizing.
[90.0 minutes]	Chunk 4: (pM66~GTSP2163~1) 336 reads removed by virus read start test filter (10 NTs).
[90.0 minutes]	Chunk 4: (pM66~GTSP2163~1) 336 reads removed after all filters.
[90.2 minutes]	Chunk 4: (pM66~GTSP2163~1) 2 reads remaining after LTR/ITR capture.
[90.2 minutes]	Chunk 4: (pM66~GTSP2163~1) captured random linker ids.
[90.2 minutes]	Chunk 4: (2954) reads remaining after read length filters.
[90.2 minutes]	Chunk 4: (pM66~GTSP2163~1) completed with 2954 reads.
[90.7 minutes]	Chunk 4: (pM66~GTSP2164~1) 203791 reads pass barcode filter.
[90.7 minutes]	Chunk 4: (pM66~GTSP2164~1) 11877 reads pass linker code filter.
[90.8 minutes]	Chunk 4: (pM66~GTSP2164~1) 11692 reads pass all demultiplexing filters.
[90.9 minutes]	Chunk 4: (pM66~GTSP2164~1) 33 reads aligned to the vector and will be removed.
[90.9 minutes]	Chunk 4: (pM66~GTSP2164~1) 11679 reads remain after removing vector aligned reads and synchronizing.
[90.9 minutes]	Chunk 4: (pM66~GTSP2164~1) 336 reads removed by virus read start test filter (10 NTs).
[90.9 minutes]	Chunk 4: (pM66~GTSP2164~1) 336 reads removed after all filters.
[91.2 minutes]	Chunk 4: (pM66~GTSP2164~1) 2 reads remaining after LTR/ITR capture.
[91.2 minutes]	Chunk 4: (pM66~GTSP2164~1) captured random linker ids.
[91.2 minutes]	Chunk 4: (4023) reads remaining after read length filters.
[91.2 minutes]	Chunk 4: (pM66~GTSP2164~1) completed with 4023 reads.
[91.7 minutes]	Chunk 4: (pM66~GTSP2165~1) 203791 reads pass barcode filter.
[91.8 minutes]	Chunk 4: (pM66~GTSP2165~1) 4494 reads pass linker code filter.
[91.8 minutes]	Chunk 4: (pM66~GTSP2165~1) 4420 reads pass all demultiplexing filters.
