[86.6 minutes]	Chunk 2: (pM50~GTSP2160~1) 204340 reads pass barcode filter.
[86.7 minutes]	Chunk 2: (pM50~GTSP2160~1) 11877 reads pass linker code filter.
[86.7 minutes]	Chunk 2: (pM50~GTSP2160~1) 11728 reads pass all demultiplexing filters.
[86.8 minutes]	Chunk 2: (pM50~GTSP2160~1) 85 reads aligned to the vector and will be removed.
[86.8 minutes]	Chunk 2: (pM50~GTSP2160~1) 11693 reads remain after removing vector aligned reads and synchronizing.
[86.8 minutes]	Chunk 2: (pM50~GTSP2160~1) 713 reads removed by virus read start test filter (10 NTs).
[86.8 minutes]	Chunk 2: (pM50~GTSP2160~1) 713 reads removed after all filters.
[87.1 minutes]	Chunk 2: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.1 minutes]	Chunk 2: (pM50~GTSP2160~1) captured random linker ids.
[87.2 minutes]	Chunk 2: (5958) reads remaining after read length filters.
[87.2 minutes]	Chunk 2: (pM50~GTSP2160~1) completed with 5958 reads.
[87.6 minutes]	Chunk 2: (pM50~GTSP2161~1) 204340 reads pass barcode filter.
[87.6 minutes]	Chunk 2: (pM50~GTSP2161~1) 9047 reads pass linker code filter.
[87.6 minutes]	Chunk 2: (pM50~GTSP2161~1) 8925 reads pass all demultiplexing filters.
[87.7 minutes]	Chunk 2: (pM50~GTSP2161~1) 74 reads aligned to the vector and will be removed.
[87.7 minutes]	Chunk 2: (pM50~GTSP2161~1) 8893 reads remain after removing vector aligned reads and synchronizing.
[87.7 minutes]	Chunk 2: (pM50~GTSP2161~1) 544 reads removed by virus read start test filter (10 NTs).
[87.7 minutes]	Chunk 2: (pM50~GTSP2161~1) 544 reads removed after all filters.
[88.1 minutes]	Chunk 2: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.1 minutes]	Chunk 2: (pM50~GTSP2161~1) captured random linker ids.
[88.1 minutes]	Chunk 2: (4280) reads remaining after read length filters.
[88.1 minutes]	Chunk 2: (pM50~GTSP2161~1) completed with 4280 reads.
[88.5 minutes]	Chunk 2: (pM50~GTSP2162~1) 204340 reads pass barcode filter.
[88.5 minutes]	Chunk 2: (pM50~GTSP2162~1) 9015 reads pass linker code filter.
[88.5 minutes]	Chunk 2: (pM50~GTSP2162~1) 8887 reads pass all demultiplexing filters.
[88.7 minutes]	Chunk 2: (pM50~GTSP2162~1) 157 reads aligned to the vector and will be removed.
[88.7 minutes]	Chunk 2: (pM50~GTSP2162~1) 8826 reads remain after removing vector aligned reads and synchronizing.
[88.7 minutes]	Chunk 2: (pM50~GTSP2162~1) 568 reads removed by virus read start test filter (10 NTs).
[88.7 minutes]	Chunk 2: (pM50~GTSP2162~1) 568 reads removed after all filters.
