[86.6 minutes]	Chunk 16: (pM50~GTSP2160~1) 206967 reads pass barcode filter.
[86.7 minutes]	Chunk 16: (pM50~GTSP2160~1) 12236 reads pass linker code filter.
[86.7 minutes]	Chunk 16: (pM50~GTSP2160~1) 12058 reads pass all demultiplexing filters.
[86.8 minutes]	Chunk 16: (pM50~GTSP2160~1) 63 reads aligned to the vector and will be removed.
[86.8 minutes]	Chunk 16: (pM50~GTSP2160~1) 12025 reads remain after removing vector aligned reads and synchronizing.
[86.8 minutes]	Chunk 16: (pM50~GTSP2160~1) 731 reads removed by virus read start test filter (10 NTs).
[86.8 minutes]	Chunk 16: (pM50~GTSP2160~1) 731 reads removed after all filters.
[87.2 minutes]	Chunk 16: (pM50~GTSP2160~1) 2 reads remaining after LTR/ITR capture.
[87.2 minutes]	Chunk 16: (pM50~GTSP2160~1) captured random linker ids.
[87.2 minutes]	Chunk 16: (6372) reads remaining after read length filters.
[87.2 minutes]	Chunk 16: (pM50~GTSP2160~1) completed with 6372 reads.
[87.6 minutes]	Chunk 16: (pM50~GTSP2161~1) 206967 reads pass barcode filter.
[87.6 minutes]	Chunk 16: (pM50~GTSP2161~1) 8894 reads pass linker code filter.
[87.7 minutes]	Chunk 16: (pM50~GTSP2161~1) 8737 reads pass all demultiplexing filters.
[87.7 minutes]	Chunk 16: (pM50~GTSP2161~1) 77 reads aligned to the vector and will be removed.
[87.7 minutes]	Chunk 16: (pM50~GTSP2161~1) 8702 reads remain after removing vector aligned reads and synchronizing.
[87.7 minutes]	Chunk 16: (pM50~GTSP2161~1) 588 reads removed by virus read start test filter (10 NTs).
[87.7 minutes]	Chunk 16: (pM50~GTSP2161~1) 588 reads removed after all filters.
[88.0 minutes]	Chunk 16: (pM50~GTSP2161~1) 2 reads remaining after LTR/ITR capture.
[88.0 minutes]	Chunk 16: (pM50~GTSP2161~1) captured random linker ids.
[88.0 minutes]	Chunk 16: (4343) reads remaining after read length filters.
[88.0 minutes]	Chunk 16: (pM50~GTSP2161~1) completed with 4343 reads.
[88.5 minutes]	Chunk 16: (pM50~GTSP2162~1) 206967 reads pass barcode filter.
[88.5 minutes]	Chunk 16: (pM50~GTSP2162~1) 8994 reads pass linker code filter.
[88.5 minutes]	Chunk 16: (pM50~GTSP2162~1) 8839 reads pass all demultiplexing filters.
[88.7 minutes]	Chunk 16: (pM50~GTSP2162~1) 217 reads aligned to the vector and will be removed.
[88.7 minutes]	Chunk 16: (pM50~GTSP2162~1) 8760 reads remain after removing vector aligned reads and synchronizing.
[88.7 minutes]	Chunk 16: (pM50~GTSP2162~1) 542 reads removed by virus read start test filter (10 NTs).
[88.7 minutes]	Chunk 16: (pM50~GTSP2162~1) 542 reads removed after all filters.
[89.0 minutes]	Chunk 16: (pM50~GTSP2162~1) 2 reads remaining after LTR/ITR capture.
[89.0 minutes]	Chunk 16: (pM50~GTSP2162~1) captured random linker ids.
[89.0 minutes]	Chunk 16: (5415) reads remaining after read length filters.
[89.0 minutes]	Chunk 16: (pM50~GTSP2162~1) completed with 5415 reads.
[89.4 minutes]	Chunk 16: (pM66~GTSP2163~1) 206967 reads pass barcode filter.
[89.5 minutes]	Chunk 16: (pM66~GTSP2163~1) 6516 reads pass linker code filter.
[89.5 minutes]	Chunk 16: (pM66~GTSP2163~1) 6427 reads pass all demultiplexing filters.
[89.5 minutes]	Chunk 16: (pM66~GTSP2163~1) 43 reads aligned to the vector and will be removed.
[89.5 minutes]	Chunk 16: (pM66~GTSP2163~1) 6400 reads remain after removing vector aligned reads and synchronizing.
[89.5 minutes]	Chunk 16: (pM66~GTSP2163~1) 322 reads removed by virus read start test filter (10 NTs).
[89.5 minutes]	Chunk 16: (pM66~GTSP2163~1) 322 reads removed after all filters.
